"NSE_CODE","M1CLOSE","M1CLOSEDT","M1RET","M3CLOSE","M3CLOSEDT","M3RET","M6CLOSE","M6CLOSEDT","M6RET","M12CLOSE","M12CLOSEDT","M12RET","CLOSE",
"RGL",111.11,2025-08-29 00:00:00,-0.46,113.69,2025-07-31 00:00:00,-2.72,113.43,2025-04-30 00:00:00,-2.49,177.31,2024-10-31 00:00:00,-37.62,110.6,
"RHIM",474,2025-08-29 00:00:00,0.99,501,2025-07-31 00:00:00,-4.45,441.2,2025-04-30 00:00:00,8.5,592.9,2024-10-31 00:00:00,-19.26,478.7,
"RHL",288.35,2025-08-29 00:00:00,2.79,274.9,2025-07-31 00:00:00,7.82,225,2025-04-30 00:00:00,31.73,0.001,,29639900,296.4,
"RICOAUTO",89.55,2025-08-29 00:00:00,7.44,71.24,2025-07-31 00:00:00,35.05,63.54,2025-04-30 00:00:00,51.42,96.19,2024-10-31 00:00:00,0.02,96.21,
"RIIL",880.1,2025-08-29 00:00:00,1.05,868.4,2025-07-31 00:00:00,2.41,852.8,2025-04-30 00:00:00,4.29,1118.6,2024-10-31 00:00:00,-20.49,889.35,
"RISHABH",415.75,2025-08-29 00:00:00,5.92,285.45,2025-07-31 00:00:00,54.27,255.97,2025-04-30 00:00:00,72.03,354.15,2024-10-31 00:00:00,24.34,440.35,
"RITCO",282,2025-08-29 00:00:00,-0.2,283.15,2025-07-31 00:00:00,-0.6,254.65,2025-04-30 00:00:00,10.52,390.35,2024-10-31 00:00:00,-27.9,281.45,
"RITES",243.95,2025-08-29 00:00:00,5.96,256.75,2025-07-31 00:00:00,0.67,225.12,2025-04-30 00:00:00,14.82,300.65,2024-10-31 00:00:00,-14.03,258.48,
"RKDL",26.42,2025-08-29 00:00:00,0.72,28.62,2025-07-31 00:00:00,-7.02,27.04,2025-04-30 00:00:00,-1.59,0.001,,2660900,26.61,
"RKEC",64.83,2025-08-29 00:00:00,4.98,67.74,2025-07-31 00:00:00,0.47,71.58,2025-04-30 00:00:00,-4.92,119.28,2024-10-31 00:00:00,-42.94,68.06,
"RKFORGE",566.55,2025-08-29 00:00:00,1.08,582.55,2025-07-31 00:00:00,-1.7,595.15,2025-04-30 00:00:00,-3.78,920.85,2024-10-31 00:00:00,-37.81,572.65,
"RKSWAMY",150.05,2025-08-29 00:00:00,-0.16,167.28,2025-07-31 00:00:00,-10.44,205.1,2025-04-30 00:00:00,-26.96,225.4,2024-10-31 00:00:00,-33.54,149.81,
"RMDRIP",724.4,2025-08-29 00:00:00,2.06,678.5,2025-07-31 00:00:00,8.97,0.001,,73934900,0.001,,73934900,739.35,
